Time [s],Heat flux [W]
0.0,8.0
20.0,6.666666666666666
40.0,4.0
60.0,4.0
80.0,4.0
100.0,4.0
120.0,1.3333333333333333
140.0,-1.3333333333333333
160.0,-4.0
180.0,-4.0
200.0,-4.0
220.0,-4.0
240.0,-4.0
260.0,-4.0
280.0,2.6666666666666665
300.0,9.333333333333332
320.0,8.666666666666666
340.0,1.333333333333333
360.0,-6.0
380.0,4.666666666666666
400.0,61.99999999999999
420.0,150.0
440.0,260.66666666666663
460.0,338.0
480.0,444.66666666666663
500.0,598.0
520.0,795.3333333333333
540.0,972.6666666666666
560.0,1103.3333333333333
580.0,1210.0
600.0,1310.0
620.0,1396.6666666666665
640.0,1460.6666666666665
660.0,1504.6666666666665
680.0,1526.0
700.0,1543.3333333333333
720.0,1544.6666666666665
740.0,1555.3333333333333
760.0,1552.0
780.0,1557.9999999999998
800.0,1550.0
820.0,1556.0
840.0,1501.333333333333
860.0,1395.3333333333333
880.0,1228.6666666666665
900.0,1094.6666666666665
920.0,970.0
940.0,817.3333333333333
960.0,599.3333333333333
980.0,376.6666666666667
1000.0,205.33333333333331
1020.0,75.99999999999999
1040.0,-39.33333333333333
1060.0,-154.66666666666666
1080.0,-242.0
1100.0,-301.3333333333333
1120.0,-342.0
1140.0,-373.3333333333333
1160.0,-400.0
1180.0,-422.0
1200.0,-439.33333333333326
1220.0,-442.66666666666663
1240.0,-450.66666666666663
1260.0,-449.3333333333333
1280.0,-462.0
1300.0,-456.0
1320.0,-463.99999999999994
1340.0,-458.0
1360.0,-461.3333333333333
1380.0,-450.66666666666663
1400.0,-449.3333333333333
1420.0,-438.66666666666663
1440.0,-442.0
1460.0,-435.99999999999994
1480.0,-439.3333333333333
1500.0,-431.3333333333333
1520.0,-423.3333333333333
1540.0,-415.3333333333333
1560.0,-404.66666666666663
1580.0,-403.3333333333333
1600.0,-386.0
1620.0,-382.66666666666663
1640.0,-370.0
1660.0,-364.0
1680.0,-353.3333333333333
1700.0,-342.66666666666663
1720.0,-341.3333333333333
1740.0,-330.66666666666663
1760.0,-329.3333333333333
1780.0,-312.0
1800.0,-308.66666666666663
1820.0,-296.0
1840.0,-299.3333333333333
1860.0,-291.3333333333333
1880.0,-286.0
1900.0,-271.3333333333333
1920.0,-263.3333333333333
1940.0,-252.66666666666666
1960.0,-251.33333333333331
1980.0,-240.66666666666666
2000.0,-239.33333333333331
2020.0,-228.66666666666666
2040.0,-227.33333333333331
2060.0,-219.33333333333331
2080.0,-211.33333333333331
2100.0,-203.33333333333331
2120.0,-192.66666666666666
2140.0,-196.0
2160.0,-192.66666666666666
2180.0,-189.33333333333331
2200.0,-181.33333333333331
2220.0,-170.66666666666666
2240.0,-169.33333333333331
2260.0,-168.0
2280.0,-169.33333333333331
2300.0,-164.0
2320.0,-149.33333333333331
2340.0,-146.0
2360.0,-140.0
2380.0,-143.33333333333331
2400.0,-132.66666666666666
2420.0,-131.33333333333331
2440.0,-130.0
2460.0,-131.33333333333331
2480.0,-123.33333333333333
2500.0,-115.33333333333333
2520.0,-114.0
2540.0,-112.66666666666666
2560.0,-111.33333333333331
2580.0,-107.33333333333331
2600.0,-103.33333333333333
2620.0,-99.33333333333331
2640.0,-95.33333333333333
2660.0,-98.0
2680.0,-98.0
2700.0,-91.33333333333333
2720.0,-64.66666666666666
2740.0,15.333333333333329
2760.0,142.0
2780.0,279.3333333333333
2800.0,390.0
2820.0,520.6666666666666
2840.0,700.6666666666666
2860.0,918.0
2880.0,1099.3333333333333
2900.0,1234.0
2920.0,1331.3333333333333
2940.0,1418.0
2960.0,1484.6666666666665
2980.0,1538.0
3000.0,1561.9999999999998
3020.0,1576.6666666666665
3040.0,1584.6666666666665
3060.0,1592.6666666666665
3080.0,1575.3333333333333
3100.0,1492.6666666666665
3120.0,1349.3333333333333
3140.0,1192.0
3160.0,1072.0
3180.0,938.0
3200.0,743.3333333333333
3220.0,492.66666666666663
3240.0,284.0
3260.0,140.66666666666666
3280.0,39.33333333333333
3300.0,-62.0
3320.0,-149.33333333333331
3340.0,-213.33333333333331
3360.0,-253.99999999999997
3380.0,-290.0
3400.0,-326.0
3420.0,-352.66666666666663
3440.0,-370.0
3460.0,-378.0
3480.0,-386.0
3500.0,-394.0
3520.0,-402.0
3540.0,-409.99999999999994
3560.0,-411.3333333333333
3580.0,-403.33333333333326
3600.0,-400.0
3620.0,-393.99999999999994
3640.0,-397.3333333333333
3660.0,-389.3333333333333
3680.0,-381.3333333333333
3700.0,-373.3333333333333
3720.0,-362.66666666666663
3740.0,-361.3333333333333
3760.0,-350.66666666666663
3780.0,-349.3333333333333
3800.0,-338.66666666666663
3820.0,-337.3333333333333
3840.0,-320.0
3860.0,-316.66666666666663
3880.0,-304.0
3900.0,-307.3333333333333
3920.0,-296.66666666666663
3940.0,-295.3333333333333
3960.0,-284.66666666666663
3980.0,-283.3333333333333
4000.0,-275.3333333333333
4020.0,-270.0
4040.0,-255.33333333333331
4060.0,-251.99999999999997
4080.0,-239.33333333333331
4100.0,-240.66666666666666
4120.0,-230.66666666666666
4140.0,-227.33333333333331
4160.0,-219.33333333333331
4180.0,-208.66666666666666
4200.0,-212.0
4220.0,-208.66666666666663
4240.0,-208.0
4260.0,-193.33333333333331
4280.0,-185.33333333333331
4300.0,-174.66666666666666
4320.0,-173.33333333333331
4340.0,-172.0
4360.0,-173.33333333333331
4380.0,-165.33333333333331
4400.0,-157.33333333333331
4420.0,-146.66666666666666
4440.0,-150.0
4460.0,-144.0
4480.0,-147.33333333333331
4500.0,-136.66666666666666
4520.0,-132.66666666666666
4540.0,-126.0
4560.0,-112.66666666666666
4580.0,-92.66666666666666
4600.0,-72.66666666666666
4620.0,-59.33333333333333
4640.0,-45.99999999999999
4660.0,-26.0
4680.0,-12.666666666666666
4700.0,-6.0
4720.0,-6.0
4740.0,-6.0
4760.0,-6.0
4780.0,-6.0
