Time [s],Temperature [C]
0.0,21.0
1.0,21.00023035280898
2.0,21.001122287621094
3.0,21.002776453694562
4.0,21.005108363078463
5.0,21.008138201116243
6.0,21.011853559130877
7.0,21.01625258832795
8.0,21.021332731222735
9.0,21.02708740659088
10.0,21.033514207562355
11.0,21.040605434664943
12.0,21.048357199536248
13.0,21.05676130994563
14.0,21.06581222790353
15.0,21.07550127787576
16.0,21.085821388436816
17.0,21.096763299865174
18.0,21.108318563848865
19.0,21.120477239071807
20.0,21.13322964272433
21.0,21.14656508233825
22.0,21.160472759386508
23.0,21.17494118994955
24.0,21.1899585573378
25.0,21.205512570641066
26.0,21.2215904763575
27.0,21.23817918045324
28.0,21.255265062624098
29.0,21.27283424429606
30.0,21.290872300973692
31.0,21.309364599139194
32.0,21.328295968253023
33.0,21.347651057696627
34.0,21.367414006652258
35.0,21.38756879144622
36.0,21.40809891579952
37.0,21.428987731753065
38.0,21.450218162361903
39.0,21.471772987808095
40.0,21.493634605837777
41.0,21.51578528005447
42.0,21.538206939153035
43.0,21.560881387700388
44.0,21.583790142655538
45.0,21.606914608893597
46.0,21.63023595004673
47.0,21.6537352320722
48.0,21.67739332473955
49.0,21.701191016984733
50.0,21.725108945127744
51.0,21.74912768383201
52.0,21.77322769719162
53.0,21.79738940896112
54.0,21.821593172869868
55.0,21.845819325518868
56.0,21.870048172587666
57.0,21.894260027454894
58.0,21.918435210323228
59.0,21.942554075257316
60.0,21.966597019606002
61.0,21.99054450179756
62.0,22.01437705879923
63.0,22.03807531665583
64.0,22.061620014058366
65.0,22.08499200730637
66.0,22.10817229834547
67.0,22.131142035557353
68.0,22.15388254489396
69.0,22.1763753276464
70.0,22.198602093540224
71.0,22.220544756416807
72.0,22.242185468357942
73.0,22.263506614028028
74.0,22.28449084506702
75.0,22.305121073680787
76.0,22.32538050670038
77.0,22.345252638868303
78.0,22.364721286082123
79.0,22.383770578719073
80.0,22.402384993686248
81.0,22.420549348027944
82.0,22.438248829499337
83.0,22.455468990621924
84.0,22.472195777569926
85.0,22.488415524773597
86.0,22.504114981971888
87.0,22.51928130941451
88.0,22.533902102978765
89.0,22.547965389981435
90.0,22.56145965229925
91.0,22.57437382277282
92.0,22.586697306300064
93.0,22.59841997678713
94.0,22.609532196211433
95.0,22.620024812060056
96.0,22.629889174377197
97.0,22.63911713361518
98.0,22.647701055699972
99.0,22.655633820208774
100.0,22.662908833500875
101.0,22.669520027131945
102.0,22.675461869103803
103.0,22.680729362425062
104.0,22.685318054535756
105.0,22.68922403592927
106.0,22.692443947814063
107.0,22.69497498070523
108.0,22.696814880393397
109.0,22.6979619464214
110.0,22.698415036424606
111.0,22.69817356441588
112.0,22.697237503567184
113.0,22.69560738422545
114.0,22.693284295201263
115.0,22.690269881453712
116.0,22.686566343952453
117.0,22.682176436967573
118.0,22.67710346657075
119.0,22.671351287477332
120.0,22.664924300255077
121.0,22.657827447665962
122.0,22.6500662106464
123.0,22.64164660411277
124.0,22.632575171771474
125.0,22.622858981357094
126.0,22.612505618331372
127.0,22.6015231805286
128.0,22.589920270804033
129.0,22.57770599106537
130.0,22.56488993392842
131.0,22.551482176121528
132.0,22.537493269208813
133.0,22.522934232357436
134.0,22.50781654218348
135.0,22.492152124882573
136.0,22.47595334525545
137.0,22.459232998202207
138.0,22.44200429698506
139.0,22.424280864095756
140.0,22.406076718808094
141.0,22.387406267433686
142.0,22.368284290218327
143.0,22.348725931002782
144.0,22.328746683520045
145.0,22.308362380482485
146.0,22.28758917932936
147.0,22.26644355077381
148.0,22.244942264051396
149.0,22.22310237495436
150.0,22.200941210637957
151.0,22.17847635717145
152.0,22.155725643958807
153.0,22.132707130845688
154.0,22.109439092198883
155.0,22.08594000361326
156.0,22.062228525706544
157.0,22.038323490461558
158.0,22.014243884788577
159.0,21.99000883655422
160.0,21.965637597958782
161.0,21.94114953129276
162.0,21.91656409219241
163.0,21.89190081516282
164.0,21.867179296763137
165.0,21.842419180952334
166.0,21.817640142249896
167.0,21.79286187095335
168.0,21.768104056327275
169.0,21.74338637174636
170.0,21.718728457959102
171.0,21.694149908207837
172.0,21.669670251619888
173.0,21.645308938354617
174.0,21.621085323170632
175.0,21.59701865065235
176.0,21.57312803900443
177.0,21.549432465404365
178.0,21.525950750076216
179.0,21.50270154181975
180.0,21.4797033024084
181.0,21.456974292348413
182.0,21.434532555642626
183.0,21.412395905836807
184.0,21.390581911189017
185.0,21.369107881048837
186.0,21.34799085148381
187.0,21.32724757203461
188.0,21.306894491841
189.0,21.286947746820516
190.0,21.267423146333837
191.0,21.248336160832363
192.0,21.229701909102694
193.0,21.21153514642443
194.0,21.19385025243365
195.0,21.176661219832027
196.0,21.159981642902764
197.0,21.14382470681184
198.0,21.128203176811375
199.0,21.113129388169536
200.0,21.098615236091902
201.0,21.084672166317706
202.0,21.071311165787666
203.0,21.05854275393675
204.0,21.046376974138028
205.0,21.03482338572659
206.0,21.0238910562386
207.0,21.013588554196097
208.0,21.00392394216395
209.0,20.99490477032061
210.0,20.986538070355653
211.0,20.978830349845296
212.0,20.971787587010287
213.0,20.96541522591746
214.0,20.959718172112023
215.0,20.95470078865791
216.0,20.950366892663084
217.0,20.94671975217328
218.0,20.943762083591565
219.0,20.941496049446076
220.0,20.939923256708468
221.0,20.93904475544094
222.0,20.938861038019965
223.0,20.939372038667017
224.0,20.940577133582885
225.0,20.94247514136007
226.0,20.945064324026088
227.0,20.948342388341423
228.0,20.95230648774305
229.0,20.956953224528547
230.0,20.962278652689754
231.0,20.96827828097627
232.0,20.974947076615134
233.0,20.98227946923757
234.0,20.990269355474425
235.0,20.99891010373781
236.0,21.00819455967073
237.0,21.018115051772295
238.0,21.028663397686664
239.0,21.0398309106464
240.0,21.051608406583803
241.0,21.06398621137788
242.0,21.076954168756647
243.0,21.09050164832658
244.0,21.10461755424388
245.0,21.11929033399653
246.0,21.1345079878194
247.0,21.150258078199215
248.0,21.166527740004284
249.0,21.183303690681235
250.0,21.200572241065046
251.0,21.21831930623992
252.0,21.236530416989435
253.0,21.25519073128894
254.0,21.274285046359907
255.0,21.29379781075412
256.0,21.3137131369771
257.0,21.33401481412303
258.0,21.35468632102746
259.0,21.37571083941069
260.0,21.397071267518346
261.0,21.4187502337355
262.0,21.440730110664855
263.0,21.462993029167524
264.0,21.485520892839972
265.0,21.508295392433556
266.0,21.53129802067922
267.0,21.55451008704436
268.0,21.577912732859506
269.0,21.60148694635773
270.0,21.625213578060983
271.0,21.64907335605194
272.0,21.673046901568682
273.0,21.697114744465036
274.0,21.721257338957596
275.0,21.74545507922773
276.0,21.769688315268713
277.0,21.793937368581048
278.0,21.818182548071064
279.0,21.84240416578318
280.0,21.86658255280295
281.0,21.890698074974704
282.0,21.914731148758207
283.0,21.938662256880722
284.0,21.962471964098455
285.0,21.9861409327275
286.0,22.009649938264534
287.0,22.032979884748187
288.0,22.056111820179286
289.0,22.079026951673104
290.0,22.101706660628615
291.0,22.124132517617078
292.0,22.146286297255063
293.0,22.16814999278293
294.0,22.1897058305928
295.0,22.210936284447275
296.0,22.231824089619856
297.0,22.25235225670654
298.0,22.272504085331445
299.0,22.2922631775112
300.0,22.311613450877722
301.0,22.330539151553076
302.0,22.349024866849376
303.0,22.367055537608884
304.0,22.38461647034478
305.0,22.401693349004532
306.0,22.41827224651062
307.0,22.434339635912114
308.0,22.44988240128761
309.0,22.464887848248473
310.0,22.47934371417179
311.0,22.493238178016544
312.0,22.50655986985566
313.0,22.519297879977984
314.0,22.53144176768295
315.0,22.542981569640535
316.0,22.553907807922684
317.0,22.564211497591955
318.0,22.57388415394373
319.0,22.58291779930122
320.0,22.59130496944549
321.0,22.599038719591167
322.0,22.606112629986903
323.0,22.612520811052338
324.0,22.618257908128612
325.0,22.62331910576439
326.0,22.627700131598022
327.0,22.631397259777508
328.0,22.63440731396575
329.0,22.63672766988033
330.0,22.638356257413868
331.0,22.63929156228608
332.0,22.639532627270263
333.0,22.63907905295331
334.0,22.637930998064412
335.0,22.636089179340836
336.0,22.633554870957536
337.0,22.63032990349897
338.0,22.626416662492637
339.0,22.621818086487966
340.0,22.616537664699948
341.0,22.610579434202805
342.0,22.603947976688662
343.0,22.596648414783875
344.0,22.588686407936816
345.0,22.580068147868086
346.0,22.57080035359828
347.0,22.560890266049462
348.0,22.550345642226347
349.0,22.53917474898642
350.0,22.527386356397198
351.0,22.51498973068995
352.0,22.501994626815385
353.0,22.488411280610002
354.0,22.474250400565197
355.0,22.45952315923272
356.0,22.444241184239708
357.0,22.428416548956637
358.0,22.41206176278898
359.0,22.395189761133555
360.0,22.377813894980974
361.0,22.3599479201959
362.0,22.341605986457
363.0,22.322802625899264
364.0,22.30355274142821
365.0,22.283871594758356
366.0,22.263774794139206
367.0,22.243278281829028
368.0,22.222398321274003
369.0,22.2011514840547
370.0,22.179554636559985
371.0,22.15762492644831
372.0,22.135379768861398
373.0,22.11283683244154
374.0,22.090014025128767
375.0,22.066929479781
376.0,22.04360153959856
377.0,22.020048743396327
378.0,21.996289810698478
379.0,21.972343626712057
380.0,21.948229227142328
381.0,21.923965782910155
382.0,21.899572584740802
383.0,21.875069027674144
384.0,21.85047459547498
385.0,21.825808844988845
386.0,21.801091390418783
387.0,21.776341887579278
388.0,21.75158001809369
389.0,21.726825473592598
390.0,21.702097939883384
391.0,21.677417081145524
392.0,21.652802524120546
393.0,21.628273842355455
394.0,21.603850540467
395.0,21.579552038482436
396.0,21.555397656225228
397.0,21.53140659780693
398.0,21.507597936185817
399.0,21.483990597855044
400.0,21.460603347626847
401.0,21.437454773567033
402.0,21.41456327205084
403.0,21.391947032993862
404.0,21.369624025229225
405.0,21.347611982079528
406.0,21.32592838710115
407.0,21.30459046004735
408.0,21.28361514302603
409.0,21.26301908689394
410.0,21.242818637874358
411.0,21.22302982443241
412.0,21.20366834438715
413.0,21.184749552310947
414.0,21.16628844718409
415.0,21.148299660352656
416.0,21.13079744376722
417.0,21.113795658538663
418.0,21.097307763794923
419.0,21.08134680587711
420.0,21.06592540784873
421.0,21.05105575936399
422.0,21.036749606863992
423.0,21.023018244149558
424.0,21.009872503300215
425.0,20.997322745978114
426.0,20.985378855097277
427.0,20.974050226888924
428.0,20.963345763348766
429.0,20.953273865088953
430.0,20.94384242458346
431.0,20.93505881983479
432.0,20.926929908437533
433.0,20.919462022079028
434.0,20.912660961442267
435.0,20.906531991554985
436.0,20.901079837551322
437.0,20.89630868088319
438.0,20.89222215595467
439.0,20.88882334720743
440.0,20.886114786636952
441.0,20.88409845176428
442.0,20.882775764042556
443.0,20.88214758771776
444.0,20.88221422913325
445.0,20.882975436484106
446.0,20.88443040001868
447.0,20.886577752690016
448.0,20.88941557125243
449.0,20.892941377810335
450.0,20.897152141804273
451.0,20.902044282448895
452.0,20.907613671607102
453.0,20.913855637111414
