Time [s],Heat flux [W],,,
,,,Time,experiment heatflux
3840,-286,0,206.219,0.8558
3860,-308,0,207.272,0.9309
3880,-268,0,208.34,0.9014
3900,-290,0,209.41,0.8103
3920,-278,0,210.479,0.8467
3940,-266,0,211.54,0.8854
3960,-246,0,212.592,0.8536
3980,-254,0,213.661,0.9378
4000,-234,0,214.718,0.7989
4020,-242,0,215.789,0.7056
4040,-222,0,216.841,0.8968
4060,-202,0,217.897,0.8262
4080,-224,0,218.957,0.7284
4100,-212,0,220.022,0.9014
4120,-172,0,221.081,0.7557
4140,-194,0,222.134,0.8422
4160,-174,0,223.199,0.9082
4180,-196,0,224.252,0.8968
4200,-184,0,225.332,0.6737
4220,-172,0,226.384,0.8832
4240,-152,0,227.446,0.6533
4260,-160,0,228.505,0.8422
4280,-168,0,229.579,0.8536
4300,-148,0,230.641,0.8695
4320,-156,0,231.71,0.8536
4340,-144,0,232.78,0.7693
4360,-124,0,233.834,0.7921
4380,-132,0,234.907,0.8536
4400,-140,0,235.96,0.824
4420,-120,0,237.011,0.8217
4440,-142,0,238.082,0.8695
4460,-130,0,239.153,0.8194
4480,-110,0,240.214,0.8831
4500,-118,0,241.286,0.9082
4520,-98,0,242.339,0.9719
4540,-120,0,243.413,0.9332
4560,-100,0,244.49,0.9901
4580,-108,0,245.567,0.7716
4600,-108,0,246.637,0.8877
4620,-88,0,247.69,0.7944
4640,-68,0,248.753,0.8945
4660,-8,0,249.814,0.9469
4680,12,0,250.877,0.8149
4700,32,0,251.935,0.7352
4720,10,0,252.999,0.874
4740,30,0,254.053,0.824
4760,30,0,255.106,0.7011
4780,30,0,256.179,0.7238
4800,30,0,257.234,0.9059
4820,30,0,258.308,1.0038
4840,30,0,259.381,0.7329
,,1,260.448,0.8968
,,1,261.52,0.7944
,,1,262.573,0.8581
,,1,263.644,0.7602
,,1,264.718,0.9082
,,1,265.793,0.8649
,,1,266.851,0.7853
,,1,267.903,0.717
,,1,268.975,0.8581
,,1,270.039,0.8763
,,1,271.101,0.8126
,,1,272.154,0.8467
,,1,273.214,0.8353
,,1,274.287,0.7784
,,1,275.372,0.7739
,,1,276.444,0.8058
,,1,277.496,0.8399
,,1,278.569,0.7921
,,1,279.639,0.9241
,,1,280.714,0.7967
,,1,281.784,0.7511
,,1,282.858,0.7284
,,1,283.919,0.9036
,,1,284.993,0.7784
,,1,286.069,0.9218
,,1,287.123,0.7147
,,1,288.185,0.7784
,,1,289.258,0.8376
,,1,290.323,0.8035
,,1,291.396,0.8695
,,1,292.449,0.7671
,,1,293.513,0.8604
,,1,294.577,0.8035
,,1,295.652,0.9196
,,1,296.725,1.0903
,,1,297.801,0.9332
,,1,298.875,1.0675
,,1,299.947,0.9992
,,1,301,1.1768
,,1,302.052,1.1836
,,1,303.11,1.1381
,,1,304.18,1.2041
,,1,305.255,1.0857
,,1,306.317,1.1722
,,1,307.371,1.1085
,,1,308.442,1.0721
,,1,309.516,1.1017
,,1,310.586,1.1836
,,1,311.662,0.9924
,,1,312.726,0.8877
,,1,313.788,1.1722
,,1,314.859,0.956
,,1,315.935,1.154
,,1,316.987,1.1403
,,1,318.052,1.195
,,1,319.126,1.1017
,,1,320.2,1.0834
,,1,321.271,1.0925
,,1,322.327,1.0584
,,1,323.401,1.1699
,,1,324.476,1.0379
,,1,325.537,1.0652
,,1,326.601,1.154
,,1,327.667,1.113
,,1,328.73,1.0698
,,1,329.789,1.1745
,,1,330.862,1.1813
,,1,331.926,1.2177
,,1,333.004,1.0994
,,1,334.063,1.0174
,,1,335.124,0.9969
,,1,336.201,1.1699
,,1,337.253,1.1654
,,1,338.315,0.8672
,,1,339.39,0.6055
,,1,340.451,0.0751
,,1,341.527,0.1093
,,1,342.578,0.1753
,,1,343.651,0.7762
,,1,344.727,1.1995
,,1,345.801,1.5341
,,1,346.878,1.4431
,,1,347.942,1.566
,,1,349.011,1.6206
,,1,350.086,1.6707
,,1,351.159,1.5865
,,1,352.21,1.7481
,,1,353.284,1.6502
,,1,354.351,1.4658
,,1,355.425,1.5887
,,1,356.499,1.698
,,1,357.571,1.6616
,,1,358.643,1.525
,,1,359.715,1.6388
,,1,360.779,1.5318
,,1,361.841,1.55
,,1,362.913,1.4931
,,1,363.98,1.5022
,,1,365.039,1.6388
,,1,366.116,1.5933
,,1,367.186,1.5022
,,1,368.255,1.5432
,,1,369.328,1.4818
,,1,370.396,1.5182
,,1,371.471,1.5546
,,1,372.535,1.525
,,1,373.61,1.4544
,,1,374.67,1.6502
,,1,375.741,1.566
,,1,376.813,1.4226
,,1,377.867,1.6912
,,1,378.942,1.4977
,,1,380.017,1.6798
,,1,381.069,1.4112
,,1,382.121,1.4863
,,1,383.193,1.566
,,1,384.254,1.4795
,,1,385.326,1.5
,,1,386.404,1.5182
,,1,387.456,1.5273
,,1,388.52,1.5387
,,1,389.595,1.5933
,,1,390.667,1.5023
,,1,391.739,1.5273
,,1,392.792,1.5205
