Time [s],Heat flux [W],,,
,,,Time,experiment heatflux
,,,1064.564,-249.5859
,,,1065.636,-257.1327
,,,1066.713,-253.0432
,,,1067.772,-253.7963
,,,1068.833,-260.8115
,,,1069.901,-260.3291
,,,1070.962,-261.3147
,,,1072.016,-266.8129
,,,1073.076,-273.8171
,,,1074.148,-282.4151
,,,1075.212,-277.1683
,,,1076.274,-281.4947
,,,1077.326,-283.8023
,,,1078.386,-283.9317
,,,1079.449,-295.0066
,,,1080.51,-295.3128
,,,1081.575,-295.2601
,,,1082.646,-298.4663
,,,1083.711,-306.6089
,,,1084.791,-299.6075
,,,1085.85,-306.063
,,,1086.926,-307.0649
,,,1087.987,-319.084
,,,1089.048,-311.6591
,,,1090.111,-318.5223
,,,1091.21,-317.6834
,,,1092.265,-317.2654
,,,1093.338,-329.493
,,,1094.414,-335.0668
,,,1095.489,-328.8815
,,,1096.564,-330.3811
,,,1097.633,-334.8793
,,,1098.708,-329.5601
,,,1099.768,-342.3354
,,,1100.846,-336.1332
,,,1101.901,-342.5267
,,,1102.952,-354.6056
,,,1104.031,-347.1675
,,,1105.093,-344.2653
,,,1106.155,-350.0628
,,,1107.206,-353.6486
,,,1108.269,-355.224
,,,1109.331,-355.8939
,,,1110.392,-365.9475
,,,1111.452,-355.8607
,,,1112.507,-360.7169
,,,1113.565,-361.6308
,,,1114.632,-365.398
,,,1115.709,-362.7573
,,,1116.783,-366.8736
,,,1117.838,-376.9044
,,,1118.913,-376.4929
,,,1119.98,-380.6126
,,,1121.04,-369.9179
,,,1122.094,-370.492
,,,1123.16,-381.4778
,,,1124.228,-385.2004
,,,1125.288,-378.8776
,,,1126.34,-386.3228
,,,1127.394,-373.7992
,,,1128.455,-389.4954
,,,1129.515,-383.6814
,,,1130.589,-399.4715
,,,1131.658,-382.2111
,,,1132.724,-383.2409
,,,1133.784,-396.5423
,,,1134.847,-395.7192
,,,1135.901,-387.3424
,,,1136.966,-406.9046
,,,1138.029,-389.5507
,,,1139.099,-399.6859
,,,1140.163,-395.4688
,,,1141.237,-400.4117
,,,1142.29,-402.7613
,,,1143.361,-394.5649
,,,1144.422,-417.521
,,,1145.475,-411.5028
,,,1146.527,-398.5163
,,,1147.584,-400.0697
,,,1148.662,-411.42
,,,1149.726,-417.5633
,,,1150.812,-417.2254
,,,1151.865,-416.9245
,,,1152.918,-418.8933
,,,1153.975,-403.6509
,,,1155.026,-420.7237
,,,1156.079,-413.9517
,,,1157.132,-422.1006
,,,1158.192,-415.7343
,,,1159.27,-409.6828
,,,1160.339,-423.4563
,,,1161.404,-432.7031
,,,1162.46,-431.9802
,,,1163.534,-430.1983
,,,1164.594,-437.6138
,,,1165.648,-429.7696
,,,1166.7,-423.4498
,,,1167.754,-425.2603
,,,1168.815,-429.5514
,,,1169.87,-428.1304
,,,1170.922,-430.9183
,,,1171.984,-429.4752
,,,1173.038,-429.2742
,,,1174.096,-440.3682
,,,1175.152,-433.1699
,,,1176.207,-433.4847
,,,1177.258,-432.29
,,,1178.326,-445.4083
,,,1179.395,-436.5814
,,,1180.449,-438.4804
,,,1181.528,-439.3876
,,,1182.598,-435.5032
,,,1183.65,-437.4484
,,,1184.707,-439.1389
,,,1185.76,-454.4431
,,,1186.813,-435.0889
,,,1187.866,-441.7308
,,,1188.919,-438.4925
,,,1189.984,-454.5271
,,,1191.039,-440.5007
,,,1192.092,-438.2795
,,,1193.157,-443.1345
,,,1194.22,-450.6252
,,,1195.275,-448.802
,,,1196.33,-445.8921
,,,1197.384,-443.1271
,,,1198.442,-454.5806
,,,1199.504,-448.5899
,,,1200.574,-449.2411
,,,1201.645,-458.0331
,,,1202.7,-461.7797
,,,1203.751,-441.5301
,,,1204.81,-451.0705
,,,1205.872,-442.3414
,,,1206.94,-457.8186
,,,1208.01,-460.7105
,,,1209.072,-456.9355
,,,1210.138,-449.467
,,,1211.198,-463.8113
,,,1212.257,-446.1582
,,,1213.317,-456.5874
,,,1214.376,-451.9351
,,,1215.456,-448.0171
,,,1216.534,-465.7121
,,,1217.585,-452.1518
,,,1218.654,-451.3868
,,,1219.713,-462.2319
,,,1220.769,-461.5488
,,,1221.834,-453.9396
,,,1222.904,-462.8022
,,,1223.96,-453.9023
,,,1225.02,-465.9364
,,,1226.086,-458.0655
,,,1227.139,-467.9917
,,,1228.197,-456.3138
,,,1229.255,-471.2136
,,,1230.325,-462.8937
,,,1231.376,-462.1982
,,,1232.431,-456.1557
,,,1233.503,-463.5639
,,,1234.562,-454.1917
,,,1235.635,-465.9643
,,,1236.686,-468.9961
,,,1237.76,-456.8601
,,,1238.822,-469.7124
,,,1239.889,-464.7918
,,,1240.951,-465.5783
,,,1242.009,-482.5243
,,,1243.061,-474.6005
,,,1244.115,-466.595
,,,1245.168,-474.2446
,,,1246.227,-458.3347
,,,1247.281,-455.4538
,,,1248.335,-469.9405
,,,1249.393,-470.6531
,,,1250.451,-473.2401
,,,1251.51,-483.6704
,,,1252.573,-459.8711
,,,1253.63,-473.4084
,,,1254.697,-458.9111
,,,1255.759,-468.4457
,,,1256.831,-472.0279
,,,1257.885,-469.4681
,,,1258.949,-461.7382
,,,1260.001,-479.8122
,,,1261.069,-477.0139
,,,1262.122,-471.2214
,,,1263.175,-463.6405
,,,1264.243,-462.4791
,,,1265.315,-487.1857
,,,1266.369,-489.3046
,,,1267.421,-467.6271
,,,1268.482,-475.4372
,,,1269.536,-481.2869
,,,1270.589,-475.0588
,,,1271.652,-471.9378
,,,1272.716,-466.7608
,,,1273.779,-468.7234
,,,1274.838,-476.6283
,,,1275.9,-470.8675
,,,1276.962,-466.4805
,,,1278.025,-472.0003
,,,1279.086,-478.8828
,,,1280.147,-469.4416
,,,1281.216,-477.6747
,,,1282.269,-471.2456
,,,1283.33,-475.1264
,,,1284.404,-481.6283
,,,1285.478,-474.6764
,,,1286.538,-466.8387
,,,1287.607,-475.3078
,,,1288.67,-485.8141
,,,1289.724,-467.2698
,,,1290.782,-475.3835
,,,1291.847,-476.0185
,,,1292.899,-466.1306
,,,1293.959,-455.8538
,,,1295.015,-489.4378
,,,1296.075,-475.6823
,,,1297.128,-474.6359
,,,1298.194,-464.221
,,,1299.262,-469.067
,,,1300.323,-467.563
,,,1301.384,-470.5032
,,,1302.436,-466.3642
,,,1303.498,-459.1532
,,,1304.559,-479.0492
,,,1305.635,-467.6349
,,,1306.695,-480.7513
,,,1307.758,-485.2154
,,,1308.817,-478.0519
,,,1309.889,-467.456
,,,1310.956,-474.8302
,,,1312.012,-474.095
,,,1313.073,-474.7638
,,,1314.143,-470.6856
,,,1315.202,-475.0597
,,,1316.262,-466.5299
,,,1317.349,-470.296
,,,1318.402,-482.7533
,,,1319.472,-478.0539
,,,1320.546,-484.8411
,,,1321.601,-468.5622
,,,1322.663,-477.1546
,,,1323.722,-477.2672
,,,1324.778,-473.4105
,,,1325.831,-471.2498
,,,1326.89,-478.5802
,,,1327.942,-478.7312
,,,1329.004,-475.204
,,,1330.065,-471.7715
,,,1331.143,-472.05
,,,1332.195,-476.3231
,,,1333.264,-469.7103
,,,1334.342,-481.2421
,,,1335.402,-472.5596
,,,1336.463,-464.018
,,,1337.515,-471.2349
,,,1338.574,-473.6617
,,,1339.639,-483.0957
,,,1340.707,-479.8417
,,,1341.765,-478.1515
,,,1342.818,-472.4875
,,,1343.88,-473.2975
,,,1344.954,-480.5345
,,,1346.02,-480.5693
,,,1347.075,-481.2596
,,,1348.141,-482.2438
,,,1349.192,-479.686
,,,1350.257,-462.5065
,,,1351.314,-480.5887
,,,1352.368,-481.628
,,,1353.429,-473.3497
,,,1354.496,-470.2491
,,,1355.558,-463.2791
,,,1356.626,-477.1543
,,,1357.697,-475.8854
,,,1358.759,-479.6793
,,,1359.82,-457.6269
,,,1360.893,-467.9781
,,,1361.963,-460.8791
,,,1363.02,-487.0608
,,,1364.084,-464.1101
,,,1365.153,-468.0582
,,,1366.217,-471.1655
,,,1367.268,-473.6545
,,,1368.325,-453.7438
,,,1369.398,-463.1074
,,,1370.472,-472.6833
,,,1371.53,-479.0111
,,,1372.601,-473.1681
,,,1373.673,-478.902
,,,1374.726,-467.6623
,,,1375.804,-451.6289
,,,1376.877,-461.7044
,,,1377.929,-474.4358
,,,1379.005,-479.1036
,,,1380.067,-459.5
,,,1381.128,-468.7832
,,,1382.183,-469.853
,,,1383.244,-469.476
,,,1384.309,-470.6093
,,,1385.368,-481.5523
,,,1386.419,-470.7263
,,,1387.474,-469.6733
,,,1388.548,-479.4322
,,,1389.602,-468.0779
,,,1390.653,-469.5171
,,,1391.716,-476.8115
,,,1392.776,-468.9082
,,,1393.838,-459.5751
,,,1394.893,-453.8768
,,,1395.98,-480.2093
,,,1397.041,-470.267
,,,1398.094,-474.0455
,,,1399.165,-455.9061
,,,1400.216,-470.3433
,,,1401.272,-454.4452
,,,1402.324,-455.6538
,,,1403.38,-465.6654
,,,1404.45,-467.112
,,,1405.511,-458.9806
,,,1406.565,-470.228
,,,1407.617,-448.5485
,,,1408.673,-464.3661
,,,1409.735,-469.7119
,,,1410.795,-452.1867
,,,1411.854,-463.4112
,,,1412.931,-448.1906
,,,1414.015,-451.4266
,,,1415.075,-467.598
,,,1416.13,-457.8363
,,,1417.183,-459.7715
,,,1418.235,-476.4838
,,,1419.294,-463.9852
,,,1420.355,-456.3637
,,,1421.417,-462.6617
,,,1422.468,-442.866
,,,1423.525,-455.7542
,,,1424.591,-468.8238
,,,1425.652,-460.6241
,,,1426.714,-471.6777
,,,1427.765,-461.3363
,,,1428.826,-465.8611
,,,1429.891,-457.0594
,,,1430.95,-447.0527
,,,1432.012,-459.7178
,,,1433.091,-465.4355
,,,1434.152,-459.4889
,,,1435.209,-451.3316
,,,1436.284,-460.1881
,,,1437.351,-447.8839
,,,1438.408,-455.3296
,,,1439.467,-452.1307
,,,1440.527,-452.5136
,,,1441.588,-465.5398
,,,1442.64,-452.4109
,,,1443.697,-457.6389
,,,1444.776,-451.1917
,,,1445.847,-451.818
,,,1446.901,-447.4411
,,,1447.982,-461.1283
,,,1449.05,-459.1257
,,,1450.108,-457.8052
,,,1451.167,-436.9281
,,,1452.22,-454.5708
,,,1453.298,-462.4118
,,,1454.379,-448.9973
,,,1455.451,-455.6584
,,,1456.504,-440.4286
,,,1457.557,-444.5353
,,,1458.617,-459.099
,,,1459.677,-457.535
,,,1460.742,-450.7581
,,,1461.795,-452.7841
,,,1462.854,-446.9959
,,,1463.906,-435.7371
,,,1464.966,-446.5027
,,,1466.039,-445.7784
,,,1467.091,-444.1408
,,,1468.142,-448.6409
,,,1469.21,-429.235
,,,1470.268,-447.4897
,,,1471.337,-448.0305
,,,1472.389,-442.6585
,,,1473.45,-438.976
,,,1474.511,-448.9502
,,,1475.572,-440.1722
,,,1476.631,-445.3311
,,,1477.682,-444.7805
,,,1478.742,-432.1323
,,,1479.809,-444.8992
,,,1480.872,-437.2673
,,,1481.934,-441.9571
,,,1482.997,-421.2933
,,,1484.065,-424.9819
,,,1485.118,-438.2341
,,,1486.179,-446.159
,,,1487.231,-437.3706
,,,1488.299,-443.4955
,,,1489.376,-446.9004
,,,1490.437,-440.1347
,,,1491.488,-432.3538
,,,1492.541,-442.9092
,,,1493.601,-443.4231
,,,1494.679,-435.6192
,,,1495.733,-440.4009
,,,1496.788,-432.8799
,,,1497.849,-432.7879
,,,1498.911,-417.0195
,,,1499.986,-433.5659
,,,1501.062,-429.2511
,,,1502.113,-419.3555
,,,1503.181,-435.4979
,,,1504.235,-438.1174
,,,1505.297,-437.1413
,,,1506.368,-425.6403
,,,1507.42,-439.5482
,,,1508.488,-428.1516
,,,1509.55,-441.4013
,,,1510.608,-429.5824
,,,1511.672,-434.3342
,,,1512.747,-425.2097
,,,1513.808,-428.5465
,,,1514.86,-431.4241
,,,1515.93,-443.11
,,,1516.988,-415.9862
,,,1518.043,-435.9116
,,,1519.116,-418.9952
,,,1520.18,-410.7534
,,,1521.233,-430.8659
,,,1522.287,-432.2102
,,,1523.358,-427.805
,,,1524.412,-425.5114
,,,1525.472,-434.0447
,,,1526.538,-427.5083
,,,1527.589,-434.8993
,,,1528.654,-421.0634
,,,1529.725,-433.3725
,,,1530.779,-427.0355
,,,1531.839,-419.2331
,,,1532.912,-429.1604
,,,1533.97,-435.2943
,,,1535.028,-422.8062
,,,1536.09,-415.6597
,,,1537.142,-421.5244
,,,1538.218,-431.5713
,,,1539.271,-421.086
,,,1540.325,-417.9359
,,,1541.404,-414.8092
,,,1542.458,-422.6562
,,,1543.524,-421.446
,,,1544.575,-420.3696
,,,1545.631,-416.7207
,,,1546.701,-422.1426
,,,1547.763,-410.8742
,,,1548.827,-412.0893
,,,1549.88,-417.5939
,,,1550.939,-400.671
,,,1552.012,-416.2193
,,,1553.071,-404.3188
,,,1554.131,-414.8609
,,,1555.201,-432.4323
,,,1556.277,-428.5348
,,,1557.33,-419.7728
,,,1558.426,-413.3229
,,,1559.488,-409.4948
,,,1560.552,-399.5802
,,,1561.607,-405.0006
,,,1562.66,-400.9728
,,,1563.72,-410.7076
,,,1564.776,-412.8162
,,,1565.842,-423.138
,,,1566.904,-404.7084
,,,1567.956,-401.9294
,,,1569.01,-409.1736
,,,1570.072,-417.2774
,,,1571.131,-402.3712
,,,1572.183,-408.9048
,,,1573.237,-410.5205
,,,1574.297,-415.1561
,,,1575.35,-405.1106
,,,1576.413,-407.0744
,,,1577.471,-415.6116
,,,1578.551,-416.9733
,,,1579.627,-400.3618
,,,1580.681,-389.7502
,,,1581.733,-409.1739
,,,1582.799,-413.1174
,,,1583.857,-398.6779
,,,1584.912,-409.0983
,,,1585.967,-421.5879
,,,1587.048,-400.1994
,,,1588.111,-402.7017
,,,1589.166,-407.5623
,,,1590.241,-404.4463
,,,1591.305,-405.2831
,,,1592.358,-389.722
,,,1593.424,-403.0647
,,,1594.479,-399.8249
,,,1595.537,-417.8307
,,,1596.593,-401.1285
,,,1597.654,-401.9844
,,,1598.732,-405.8854
,,,1599.783,-399.181
,,,1600.841,-400.0553
,,,1601.893,-409.2841
,,,1602.945,-407.5765
,,,1603.997,-409.2199
,,,1605.055,-385.6634
,,,1606.118,-390.232
,,,1607.172,-396.6537
,,,1608.225,-400.2091
,,,1609.311,-395.9127
,,,1610.372,-380.0808
,,,1611.424,-388.1127
,,,1612.475,-400.1454
,,,1613.527,-397.4049
,,,1614.583,-392.7065
,,,1615.647,-393.4431
,,,1616.702,-383.4624
,,,1617.754,-389.0182
,,,1618.82,-399.804
,,,1619.881,-401.2262
,,,1620.955,-389.9545
,,,1622.009,-378.2249
,,,1623.068,-397.5675
,,,1624.122,-392.3702
,,,1625.182,-391.3683
,,,1626.244,-395.8395
,,,1627.309,-382.4651
,,,1628.366,-389.7265
,,,1629.446,-383.1006
,,,1630.519,-382.2576
,,,1631.582,-388.18
,,,1632.638,-392.4323
,,,1633.708,-392.4853
,,,1634.769,-379.7427
,,,1635.831,-389.7206
,,,1636.902,-372.702
,,,1637.956,-387.2809
,,,1639.015,-376.8197
,,,1640.068,-388.3684
,,,1641.133,-376.829
,,,1642.185,-382.8347
,,,1643.237,-392.8694
,,,1644.295,-378.4023
,,,1645.35,-385.6372
,,,1646.413,-388.1893
,,,1647.464,-377.1926
,,,1648.526,-375.3548
,,,1649.587,-380.1028
,,,1650.639,-381.5584
,,,1651.693,-383.5039
,,,1652.744,-367.6585
,,,1653.805,-374.5253
,,,1654.862,-382.6503
,,,1655.922,-388.1497
,,,1656.985,-375.856
,,,1658.058,-373.6354
,,,1659.125,-390.4063
,,,1660.185,-385.1644
,,,1661.256,-380.515
,,,1662.321,-369.8328
,,,1663.381,-377.7373
,,,1664.444,-366.3871
,,,1665.513,-370.5703
,,,1666.581,-363.2614
,,,1667.647,-387.9702
,,,1668.719,-367.4923
,,,1669.778,-359.6799
,,,1670.829,-370.7344
,,,1671.889,-373.9537
,,,1672.96,-367.105
,,,1674.018,-374.3089
,,,1675.08,-361.6531
,,,1676.131,-373.6987
,,,1677.182,-372.5517
,,,1678.244,-360.7743
,,,1679.313,-364.8235
,,,1680.373,-368.1698
,,,1681.442,-366.4646
,,,1682.495,-370.062
,,,1683.559,-363.9187
,,,1684.63,-358.4329
,,,1685.689,-369.6593
,,,1686.75,-358.6269
,,,1687.802,-361.864
,,,1688.861,-350.9019
,,,1689.938,-370.376
,,,1690.998,-361.2661
,,,1692.05,-359.7048
,,,1693.1,-373.2696
,,,1694.162,-360.8978
,,,1695.232,-361.1875
,,,1696.288,-356.9553
,,,1697.344,-356.6601
,,,1698.404,-369.8493
,,,1699.464,-353.0867
,,,1700.532,-353.8097
,,,1701.599,-359.2031
,,,1702.655,-368.9481
,,,1703.709,-353.8267
,,,1704.776,-360.4362
,,,1705.831,-359.3595
,,,1706.913,-361.3278
,,,1707.992,-349.0054
,,,1709.057,-359.0373
,,,1710.12,-348.2034
,,,1711.182,-358.1379
,,,1712.234,-351.3577
,,,1713.296,-354.8869
,,,1714.355,-354.1517
,,,1715.417,-356.1025
,,,1716.48,-356.3063
,,,1717.534,-344.5572
,,,1718.601,-368.1562
,,,1719.66,-354.5175
,,,1720.716,-357.3893
,,,1721.792,-352.2683
,,,1722.846,-354.381
,,,1723.901,-341.1289
,,,1724.964,-344.3098
,,,1726.035,-333.5402
,,,1727.089,-350.1062
,,,1728.149,-338.0108
,,,1729.206,-351.7103
,,,1730.29,-350.2049
,,,1731.348,-335.0113
,,,1732.4,-341.8928
,,,1733.463,-342.7309
,,,1734.525,-353.8433
,,,1735.589,-353.2762
,,,1736.66,-340.0556
,,,1737.711,-338.701
,,,1738.766,-340.4559
,,,1739.819,-341.1303
,,,1740.879,-343.6759
,,,1741.946,-343.8424
,,,1743,-351.8901
,,,1744.058,-341.9196
,,,1745.12,-341.5226
,,,1746.184,-337.272
,,,1747.239,-323.2469
,,,1748.301,-340.5196
,,,1749.361,-348.6706
,,,1750.431,-348.371
,,,1751.508,-350.1609
,,,1752.561,-343.5078
,,,1753.614,-332.5009
,,,1754.675,-330.811
,,,1755.734,-333.7801
,,,1756.804,-339.5321
,,,1757.857,-344.302
,,,1758.935,-336.1084
,,,1760.008,-344.2383
,,,1761.069,-347.9816
,,,1762.12,-328.9928
,,,1763.185,-336.128
,,,1764.239,-332.3751
,,,1765.323,-337.348
,,,1766.392,-343.9924
,,,1767.446,-333.7844
,,,1768.517,-334.7073
,,,1769.587,-328.3028
,,,1770.64,-314.4584
,,,1771.717,-327.6036
,,,1772.787,-329.5499
,,,1773.845,-332.7223
,,,1774.916,-328.4744
,,,1775.968,-319.2716
,,,1777.029,-314.3253
,,,1778.088,-326.3393
,,,1779.141,-325.2117
,,,1780.192,-336.1108
,,,1781.243,-329.3595
,,,1782.295,-322.8665
,,,1783.364,-329.6066
,,,1784.427,-323.1511
,,,1785.491,-327.7067
,,,1786.55,-328.0444
,,,1787.601,-325.3834
,,,1788.666,-323.5288
,,,1789.734,-328.7819
,,,1790.794,-315.6866
,,,1791.871,-322.0321
,,,1792.926,-329.1272
,,,1793.991,-323.5547
,,,1795.07,-320.8468
,,,1796.142,-324.3864
,,,1797.194,-324.1438
,,,1798.269,-317.2428
,,,1799.324,-323.7742
,,,1800.375,-321.8015
,,,1801.441,-318.0712
,,,1802.495,-314.559
,,,1803.548,-327.9074
,,,1804.6,-312.5521
,,,1805.662,-331.1554
,,,1806.727,-317.9197
,,,1807.785,-318.1905
,,,1808.859,-323.9542
,,,1809.912,-320.2612
,,,1810.968,-306.1623
,,,1812.037,-325.5552
,,,1813.106,-310.2197
,,,1814.163,-321.4509
,,,1815.232,-321.5853
,,,1816.287,-314.7293
,,,1817.339,-313.193
,,,1818.389,-305.2487
,,,1819.447,-309.624
,,,1820.498,-317.6968
,,,1821.563,-316.9301
,,,1822.622,-311.8739
,,,1823.687,-308.6939
,,,1824.748,-304.3859
,,,1825.816,-309.0281
,,,1826.882,-312.4767
,,,1827.936,-298.5344
,,,1828.987,-312.9236
,,,1830.059,-305.7305
,,,1831.138,-312.0925
,,,1832.197,-303.4464
,,,1833.273,-314.6071
,,,1834.344,-310.4278
,,,1835.411,-315.2939
,,,1836.463,-302.0051
,,,1837.515,-306.6341
,,,1838.569,-308.0716
,,,1839.62,-295.886
,,,1840.684,-307.7143
,,,1841.739,-298.6514
,,,1842.792,-304.2791
,,,1843.844,-304.8147
,,,1844.898,-305.3338
,,,1845.971,-297.0922
,,,1847.038,-303.5209
,,,1848.101,-299.7865
,,,1849.17,-296.8464
,,,1850.238,-304.2178
,,,1851.297,-301.6503
,,,1852.35,-305.6615
,,,1853.42,-304.353
,,,1854.478,-314.3869
,,,1855.538,-306.999
,,,1856.59,-300.7408
,,,1857.644,-293.1642
,,,1858.702,-303.7416
,,,1859.76,-299.6349
,,,1860.82,-291.4042
,,,1861.895,-293.6895
,,,1862.955,-299.2921
,,,1864.025,-296.8159
,,,1865.099,-297.3856
,,,1866.158,-295.5854
,,,1867.213,-303.6285
,,,1868.271,-293.1543
,,,1869.332,-294.7641
,,,1870.401,-299.3488
,,,1871.461,-290.3905
,,,1872.512,-303.5087
,,,1873.579,-291.349
,,,1874.638,-298.191
,,,1875.698,-285.9472
,,,1876.758,-290.7141
,,,1877.811,-288.6335
,,,1878.871,-295.1636
,,,1879.94,-286.2102
,,,1881.001,-284.2348
,,,1882.058,-290.2684
,,,1883.116,-294.3405
,,,1884.177,-283.3721
,,,1885.246,-282.5401
,,,1886.305,-282.3967
,,,1887.36,-297.3222
,,,1888.429,-282.3195
,,,1889.498,-289.9443
,,,1890.568,-286.3309
,,,1891.619,-277.1951
,,,1892.678,-289.1131
,,,1893.739,-289.2264
,,,1894.791,-286.3959
,,,1895.849,-282.9687
,,,1896.922,-283.5657
,,,1897.982,-286.0636
,,,1899.052,-282.7038
,,,1900.113,-274.205
,,,1901.173,-283.4948
,,,1902.227,-279.3197
,,,1903.286,-287.7889
,,,1904.352,-282.2034
,,,1905.406,-287.272
,,,1906.463,-281.4182
,,,1907.515,-279.2559
,,,1908.588,-276.22
,,,1909.662,-281.1921
,,,1910.735,-282.1362
,,,1911.806,-285.3966
,,,1912.867,-270.5284
,,,1913.936,-273.6421
,,,1914.994,-282.4394
,,,1916.051,-279.8934
,,,1917.103,-273.907
,,,1918.154,-266.6843
,,,1919.207,-281.2215
,,,1920.263,-269.5984
,,,1921.316,-273.4121
,,,1922.373,-274.666
,,,1923.435,-273.1208
,,,1924.487,-278.6674
,,,1925.539,-271.2842
,,,1926.596,-268.0804
,,,1927.664,-279.6945
,,,1928.724,-278.4589
,,,1929.783,-277.3524
,,,1930.841,-279.7459
,,,1931.895,-278.9646
,,,1932.963,-270.3276
,,,1934.024,-268.2867
,,,1935.098,-267.3576
,,,1936.165,-270.2691
,,,1937.225,-281.4737
,,,1938.287,-270.3365
,,,1939.35,-261.4505
,,,1940.413,-266.2308
,,,1941.475,-270.8767
,,,1942.529,-275.1919
,,,1943.596,-267.8727
,,,1944.665,-269.3277
,,,1945.737,-267.9851
,,,1946.798,-264.3047
,,,1947.859,-264.3103
,,,1948.917,-266.336
,,,1949.988,-266.4892
,,,1951.056,-267.7772
,,,1952.11,-266.6641
,,,1953.187,-274.6091
,,,1954.25,-261.7712
,,,1955.301,-266.5216
,,,1956.368,-269.4218
,,,1957.422,-267.4946
,,,1958.486,-262.4455
,,,1959.556,-262.5052
,,,1960.613,-269.7789
,,,1961.667,-259.704
,,,1962.724,-266.9325
,,,1963.788,-262.2166
,,,1964.858,-264.8879
,,,1965.918,-254.6861
,,,1966.975,-270.9834
,,,1968.027,-249.9117
,,,1969.097,-259.3385
,,,1970.153,-258.7998
,,,1971.224,-260.7432
,,,1972.277,-257.0278
,,,1973.353,-249.8888
,,,1974.413,-259.8698
,,,1975.482,-259.6648
,,,1976.543,-261.2398
,,,1977.595,-255.2099
,,,1978.654,-248.1192
,,,1979.72,-256.2333
,,,1980.79,-256.7065
,,,1981.852,-258.1602
,,,1982.91,-262.1953
,,,1983.987,-251.7293
,,,1985.046,-253.0602
,,,1986.118,-253.9626
,,,1987.169,-255.0711
,,,1988.233,-256.7024
,,,1989.309,-244.3509
,,,1990.38,-250.7809
,,,1991.454,-247.735
,,,1992.512,-249.3347
,,,1993.582,-257.3681
,,,1994.658,-258.8742
,,,1995.727,-245.3289
,,,1996.8,-255.0263
,,,1997.864,-252.1471
,,,1998.938,-242.2372
,,,2000.008,-252.3346
,,,2001.075,-252.6539
,,,2002.127,-248.8979
,,,2003.178,-250.024
,,,2004.237,-245.7988
,,,2005.293,-248.0388
,,,2006.363,-244.6468
,,,2007.416,-245.3843
,,,2008.476,-241.513
,,,2009.536,-247.5022
,,,2010.599,-253.7637
,,,2011.651,-240.8184
,,,2012.702,-248.6204
,,,2013.772,-249.7398
,,,2014.839,-247.3111
,,,2015.912,-245.3079
,,,2016.976,-243.7197
,,,2018.028,-241.1948
,,,2019.096,-254.1916
,,,2020.165,-246.9305
,,,2021.23,-239.0151
,,,2022.281,-238.0055
,,,2023.338,-246.2586
,,,2024.405,-245.2538
,,,2025.474,-248.9412
,,,2026.529,-246.4987
,,,2027.582,-241.5349
,,,2028.652,-242.4722
,,,2029.711,-244.8475
,,,2030.774,-237.0753
,,,2031.845,-228.8637
,,,2032.907,-241.8766
,,,2033.979,-244.5256
,,,2035.039,-238.6789
,,,2036.095,-237.2367
,,,2037.146,-231.0237
,,,2038.205,-236.1392
,,,2039.275,-234.792
,,,2040.345,-236.8117
,,,2041.417,-243.18
,,,2042.468,-234.3749
,,,2043.537,-231.3078
,,,2044.593,-234.7534
,,,2045.672,-241.9274
,,,2046.739,-229.8312
,,,2047.808,-231.0966
,,,2048.871,-235.3462
,,,2049.928,-234.5877
,,,2050.993,-229.7404
,,,2052.067,-226.6064
,,,2053.134,-230.5714
,,,2054.19,-235.138
,,,2055.252,-229.1798
,,,2056.324,-235.9504
,,,2057.377,-227.1268
,,,2058.438,-229.761
,,,2059.506,-228.5581
,,,2060.565,-229.1128
,,,2061.639,-231.1894
,,,2062.69,-224.603
,,,2063.757,-224.2409
,,,2064.826,-229.1574
,,,2065.897,-227.2019
,,,2066.968,-226.3694
,,,2068.019,-238.8331
,,,2069.082,-229.498
,,,2070.156,-224.4973
,,,2071.219,-226.4497
,,,2072.271,-229.8587
,,,2073.336,-228.1076
,,,2074.406,-228.3314
,,,2075.466,-229.5236
,,,2076.542,-226.9192
,,,2077.594,-221.8015
,,,2078.654,-230.094
,,,2079.723,-229.1953
,,,2080.795,-223.8788
,,,2081.86,-229.3221
,,,2082.929,-224.6754
,,,2084.007,-230.635
,,,2085.072,-219.1196
,,,2086.141,-220.7461
,,,2087.192,-222.052
,,,2088.254,-223.3777
,,,2089.314,-221.5453
,,,2090.371,-226.9921
,,,2091.443,-220.5914
,,,2092.495,-225.9333
,,,2093.553,-225.8793
,,,2094.623,-215.4397
,,,2095.681,-219.8967
,,,2096.735,-217.7342
,,,2097.794,-215.6581
,,,2098.85,-220.9236
,,,2099.919,-220.8625
,,,2100.988,-217.117
,,,2102.044,-223.0221
,,,2103.106,-215.4792
,,,2104.176,-209.4386
,,,2105.242,-213.2923
,,,2106.311,-219.2251
,,,2107.364,-216.7807
,,,2108.426,-216.819
,,,2109.485,-212.237
,,,2110.545,-218.8133
,,,2111.607,-209.7391
,,,2112.66,-224.2783
,,,2113.732,-210.5525
,,,2114.792,-219.202
,,,2115.862,-208.0797
,,,2116.922,-212.7694
,,,2118.004,-211.8101
,,,2119.074,-210.6039
,,,2120.141,-211.1688
,,,2121.213,-209.331
,,,2122.264,-211.6786
,,,2123.34,-206.0951
,,,2124.401,-212.7703
,,,2125.462,-214.6121
,,,2126.52,-206.8169
,,,2127.571,-210.2587
,,,2128.63,-212.8117
,,,2129.7,-212.3263
,,,2130.77,-211.437
